,Brand,Year,Global_Sales
6896,Atari,1980-01-01,0.24
2669,Atari,1980-01-01,0.77
5366,Atari,1980-01-01,0.34
1969,Atari,1980-01-01,1.05
1766,Atari,1980-01-01,1.15
6317,Atari,1980-01-01,0.27
544,Atari,1980-01-01,2.76
258,Atari,1980-01-01,4.31
4025,Atari,1980-01-01,0.49
4517,Atari,1981-01-01,0.43
6866,Atari,1981-01-01,0.24
5389,Atari,1981-01-01,0.34
6940,Atari,1981-01-01,0.24
6021,Atari,1981-01-01,0.29
7148,Atari,1981-01-01,0.22
239,Atari,1981-01-01,4.5
2940,Atari,1981-01-01,0.69
2806,Atari,1981-01-01,0.73
2516,Atari,1981-01-01,0.82
6537,Atari,1981-01-01,0.26
4346,Atari,1981-01-01,0.45
1965,Atari,1981-01-01,1.05
7371,Atari,1981-01-01,0.21
5400,Atari,1981-01-01,0.34
7150,Atari,1981-01-01,0.22
4402,Atari,1981-01-01,0.45
4139,Atari,1981-01-01,0.48
5246,Atari,1981-01-01,0.36
2232,Atari,1981-01-01,0.93
1556,Atari,1981-01-01,1.27
2664,Atari,1981-01-01,0.77
1306,Atari,1981-01-01,1.46
3408,Atari,1981-01-01,0.59
3403,Atari,1981-01-01,0.59
5800,Atari,1981-01-01,0.31
734,Atari,1981-01-01,2.2
766,Atari,1981-01-01,2.13
4967,Atari,1981-01-01,0.39
1429,Atari,1981-01-01,1.36
864,Atari,1981-01-01,1.97
2596,Atari,1981-01-01,0.79
5127,Atari,1981-01-01,0.37
4908,Atari,1981-01-01,0.39
9495,Atari,1981-01-01,0.13
7184,Atari,1981-01-01,0.22
8459,Atari,1981-01-01,0.17
4784,Atari,1981-01-01,0.4
7904,Atari,1981-01-01,0.19
4015,Atari,1981-01-01,0.5
1848,Atari,1981-01-01,1.1
1153,Atari,1981-01-01,1.6
1106,Atari,1981-01-01,1.65
3044,Atari,1981-01-01,0.67
5564,Atari,1981-01-01,0.33
2143,Atari,1981-01-01,0.97
5381,Atari,1982-01-01,0.34
1851,Atari,1982-01-01,1.1
3748,Atari,1982-01-01,0.54
5064,Atari,1982-01-01,0.38
3447,Atari,1982-01-01,0.58
4016,Atari,1982-01-01,0.5
1905,Atari,1982-01-01,1.08
89,Atari,1982-01-01,7.81
2660,Atari,1982-01-01,0.77
2406,Atari,1982-01-01,0.87
3215,Atari,1982-01-01,0.63
4894,Atari,1982-01-01,0.39
2843,Atari,1982-01-01,0.72
1115,Atari,1982-01-01,1.64
3266,Atari,1982-01-01,0.62
3248,Atari,1982-01-01,0.62
6265,Atari,1982-01-01,0.27
5773,Atari,1982-01-01,0.31
4013,Atari,1982-01-01,0.5
2629,Atari,1982-01-01,0.78
9106,Atari,1982-01-01,0.14
8458,Atari,1982-01-01,0.17
4801,Atari,1982-01-01,0.4
7149,Atari,1982-01-01,0.22
3079,Atari,1982-01-01,0.66
6145,Atari,1982-01-01,0.28
1163,Atari,1982-01-01,1.59
1817,Atari,1982-01-01,1.12
5395,Atari,1982-01-01,0.34
3966,Atari,1982-01-01,0.5
3643,Atari,1982-01-01,0.55
8758,Atari,1982-01-01,0.15
5658,Atari,1982-01-01,0.32
1705,Atari,1982-01-01,1.18
6728,Atari,1982-01-01,0.25
3716,Atari,1982-01-01,0.54
5382,Atari,1983-01-01,0.34
1809,Nintendo,1983-01-01,1.13
8457,Atari,1983-01-01,0.17
5559,Atari,1983-01-01,0.33
763,Nintendo,1983-01-01,2.14
4267,Atari,1983-01-01,0.46
421,Nintendo,1983-01-01,3.2
1839,Nintendo,1983-01-01,1.11
700,Nintendo,1983-01-01,2.28
2672,Atari,1983-01-01,0.77
1508,Atari,1983-01-01,1.31
6007,Atari,1983-01-01,0.29
4096,Atari,1983-01-01,0.48
4780,Atari,1983-01-01,0.4
3953,Atari,1983-01-01,0.5
2652,Atari,1983-01-01,0.78
1861,Nintendo,1983-01-01,1.1
754,Nintendo,1984-01-01,2.17
1857,Nintendo,1984-01-01,1.1
277,Nintendo,1984-01-01,4.16
1638,Nintendo,1984-01-01,1.22
6296,Atari,1984-01-01,0.27
1560,Nintendo,1984-01-01,1.27
298,Nintendo,1984-01-01,4.01
2513,Nintendo,1984-01-01,0.82
9,Nintendo,1984-01-01,28.31
1233,Nintendo,1984-01-01,1.52
938,Nintendo,1984-01-01,1.85
2955,Nintendo,1984-01-01,0.69
1234,Nintendo,1984-01-01,1.52
1324,Nintendo,1984-01-01,1.45
1973,Nintendo,1985-01-01,1.05
868,Nintendo,1985-01-01,1.96
2259,Nintendo,1985-01-01,0.92
1490,Nintendo,1985-01-01,1.32
3907,Nintendo,1985-01-01,0.51
1,Nintendo,1985-01-01,40.24
374,Nintendo,1985-01-01,3.5
2020,Nintendo,1985-01-01,1.03
14335,PC,1985-01-01,0.03
1260,Nintendo,1985-01-01,1.5
4337,Atari,1985-01-01,0.45
15867,Nintendo,1985-01-01,0.02
2059,Nintendo,1985-01-01,1.0
4727,Nintendo,1985-01-01,0.41
5956,Atari,1986-01-01,0.29
548,Nintendo,1986-01-01,2.73
611,Nintendo,1986-01-01,2.52
1623,Nintendo,1986-01-01,1.23
573,Nintendo,1986-01-01,2.65
737,Nintendo,1986-01-01,2.2
5082,Atari,1986-01-01,0.37
1791,Nintendo,1986-01-01,1.14
452,Nintendo,1986-01-01,3.08
1262,Nintendo,1986-01-01,1.5
1117,Nintendo,1986-01-01,1.64
1772,Nintendo,1986-01-01,1.15
867,Nintendo,1986-01-01,1.96
127,Nintendo,1986-01-01,6.51
1675,Nintendo,1986-01-01,1.2
992,Nintendo,1986-01-01,1.76
1676,Nintendo,1986-01-01,1.2
1427,Nintendo,1986-01-01,1.36
1971,Nintendo,1986-01-01,1.05
2158,Nintendo,1986-01-01,0.96
3532,Nintendo,1986-01-01,0.57
251,Nintendo,1987-01-01,4.38
602,Nintendo,1987-01-01,2.56
2466,Nintendo,1987-01-01,0.84
1588,Nintendo,1987-01-01,1.25
2547,Nintendo,1987-01-01,0.81
6583,Atari,1987-01-01,0.26
465,Nintendo,1987-01-01,3.02
11716,Atari,1987-01-01,0.08
2234,Nintendo,1987-01-01,0.93
647,Nintendo,1987-01-01,2.4
11749,Atari,1987-01-01,0.07
3118,Atari,1987-01-01,0.65
4393,Atari,1987-01-01,0.45
759,Nintendo,1987-01-01,2.15
1361,Nintendo,1987-01-01,1.42
4194,Atari,1987-01-01,0.47
764,Nintendo,1988-01-01,2.14
22,Nintendo,1988-01-01,17.28
1187,Nintendo,1988-01-01,1.56
155,Nintendo,1988-01-01,5.58
96,Nintendo,1988-01-01,7.46
1350,Nintendo,1988-01-01,1.43
6939,Atari,1988-01-01,0.24
1587,Nintendo,1988-01-01,1.25
1246,Nintendo,1988-01-01,1.51
14507,PC,1988-01-01,0.03
638,Nintendo,1988-01-01,2.42
312,Nintendo,1988-01-01,3.87
1708,Nintendo,1988-01-01,1.18
3940,Atari,1988-01-01,0.51
2704,Nintendo,1988-01-01,0.76
775,Nintendo,1989-01-01,2.12
5,Nintendo,1989-01-01,30.26
1859,Nintendo,1989-01-01,1.1
880,Nintendo,1989-01-01,1.94
1858,Nintendo,1989-01-01,1.1
1678,Nintendo,1989-01-01,1.2
852,Nintendo,1989-01-01,1.99
8757,Atari,1989-01-01,0.15
12636,Nintendo,1989-01-01,0.06
170,Nintendo,1989-01-01,5.34
276,Nintendo,1989-01-01,4.17
21,Nintendo,1989-01-01,18.14
4147,Atari,1989-01-01,0.47
1142,Nintendo,1989-01-01,1.61
1542,Nintendo,1989-01-01,1.28
2439,Nintendo,1989-01-01,0.85
1089,Nintendo,1989-01-01,1.67
446,Nintendo,1990-01-01,3.12
1770,Nintendo,1990-01-01,1.15
1278,Nintendo,1990-01-01,1.48
1726,Nintendo,1990-01-01,1.17
1385,Nintendo,1990-01-01,1.4
5493,Nintendo,1990-01-01,0.33
509,Nintendo,1990-01-01,2.85
215,Nintendo,1990-01-01,4.85
391,Nintendo,1990-01-01,3.41
5862,Nintendo,1990-01-01,0.3
1792,Nintendo,1990-01-01,1.14
18,Nintendo,1990-01-01,20.61
1190,Nintendo,1990-01-01,1.56
588,SEGA,1990-01-01,2.6
722,Nintendo,1990-01-01,2.23
