,Platform,Year,Global_Sales
6896,2600,1980-01-01,0.24
2669,2600,1980-01-01,0.77
5366,2600,1980-01-01,0.34
1969,2600,1980-01-01,1.05
1766,2600,1980-01-01,1.15
6317,2600,1980-01-01,0.27
544,2600,1980-01-01,2.76
258,2600,1980-01-01,4.31
4025,2600,1980-01-01,0.49
4517,2600,1981-01-01,0.43
6866,2600,1981-01-01,0.24
5389,2600,1981-01-01,0.34
6940,2600,1981-01-01,0.24
6021,2600,1981-01-01,0.29
7148,2600,1981-01-01,0.22
239,2600,1981-01-01,4.5
2940,2600,1981-01-01,0.69
2806,2600,1981-01-01,0.73
2516,2600,1981-01-01,0.82
6537,2600,1981-01-01,0.26
4346,2600,1981-01-01,0.45
1965,2600,1981-01-01,1.05
7371,2600,1981-01-01,0.21
5400,2600,1981-01-01,0.34
7150,2600,1981-01-01,0.22
4402,2600,1981-01-01,0.45
4139,2600,1981-01-01,0.48
5246,2600,1981-01-01,0.36
2232,2600,1981-01-01,0.93
1556,2600,1981-01-01,1.27
2664,2600,1981-01-01,0.77
1306,2600,1981-01-01,1.46
3408,2600,1981-01-01,0.59
3403,2600,1981-01-01,0.59
5800,2600,1981-01-01,0.31
734,2600,1981-01-01,2.2
766,2600,1981-01-01,2.13
4967,2600,1981-01-01,0.39
1429,2600,1981-01-01,1.36
864,2600,1981-01-01,1.97
2596,2600,1981-01-01,0.79
5127,2600,1981-01-01,0.37
4908,2600,1981-01-01,0.39
9495,2600,1981-01-01,0.13
7184,2600,1981-01-01,0.22
8459,2600,1981-01-01,0.17
4784,2600,1981-01-01,0.4
7904,2600,1981-01-01,0.19
4015,2600,1981-01-01,0.5
1848,2600,1981-01-01,1.1
1153,2600,1981-01-01,1.6
1106,2600,1981-01-01,1.65
3044,2600,1981-01-01,0.67
5564,2600,1981-01-01,0.33
2143,2600,1981-01-01,0.97
5381,2600,1982-01-01,0.34
1851,2600,1982-01-01,1.1
3748,2600,1982-01-01,0.54
5064,2600,1982-01-01,0.38
3447,2600,1982-01-01,0.58
4016,2600,1982-01-01,0.5
1905,2600,1982-01-01,1.08
89,2600,1982-01-01,7.81
2660,2600,1982-01-01,0.77
2406,2600,1982-01-01,0.87
3215,2600,1982-01-01,0.63
4894,2600,1982-01-01,0.39
2843,2600,1982-01-01,0.72
1115,2600,1982-01-01,1.64
3266,2600,1982-01-01,0.62
3248,2600,1982-01-01,0.62
6265,2600,1982-01-01,0.27
5773,2600,1982-01-01,0.31
4013,2600,1982-01-01,0.5
2629,2600,1982-01-01,0.78
9106,2600,1982-01-01,0.14
8458,2600,1982-01-01,0.17
4801,2600,1982-01-01,0.4
7149,2600,1982-01-01,0.22
3079,2600,1982-01-01,0.66
6145,2600,1982-01-01,0.28
1163,2600,1982-01-01,1.59
1817,2600,1982-01-01,1.12
5395,2600,1982-01-01,0.34
3966,2600,1982-01-01,0.5
3643,2600,1982-01-01,0.55
8758,2600,1982-01-01,0.15
5658,2600,1982-01-01,0.32
1705,2600,1982-01-01,1.18
6728,2600,1982-01-01,0.25
3716,2600,1982-01-01,0.54
5382,2600,1983-01-01,0.34
1809,NES,1983-01-01,1.13
8457,2600,1983-01-01,0.17
5559,2600,1983-01-01,0.33
763,NES,1983-01-01,2.14
4267,2600,1983-01-01,0.46
421,NES,1983-01-01,3.2
1839,NES,1983-01-01,1.11
700,NES,1983-01-01,2.28
2672,2600,1983-01-01,0.77
1508,2600,1983-01-01,1.31
6007,2600,1983-01-01,0.29
4096,2600,1983-01-01,0.48
4780,2600,1983-01-01,0.4
3953,2600,1983-01-01,0.5
2652,2600,1983-01-01,0.78
1861,NES,1983-01-01,1.1
754,NES,1984-01-01,2.17
1857,NES,1984-01-01,1.1
277,NES,1984-01-01,4.16
1638,NES,1984-01-01,1.22
6296,2600,1984-01-01,0.27
1560,NES,1984-01-01,1.27
298,NES,1984-01-01,4.01
2513,NES,1984-01-01,0.82
9,NES,1984-01-01,28.31
1233,NES,1984-01-01,1.52
938,NES,1984-01-01,1.85
2955,NES,1984-01-01,0.69
1234,NES,1984-01-01,1.52
1324,NES,1984-01-01,1.45
1973,NES,1985-01-01,1.05
868,NES,1985-01-01,1.96
2259,NES,1985-01-01,0.92
1490,NES,1985-01-01,1.32
3907,NES,1985-01-01,0.51
1,NES,1985-01-01,40.24
374,NES,1985-01-01,3.5
2020,NES,1985-01-01,1.03
14335,PC,1985-01-01,0.03
1260,NES,1985-01-01,1.5
4337,2600,1985-01-01,0.45
15867,DS,1985-01-01,0.02
2059,NES,1985-01-01,1.0
4727,NES,1985-01-01,0.41
5956,2600,1986-01-01,0.29
548,NES,1986-01-01,2.73
611,NES,1986-01-01,2.52
1623,NES,1986-01-01,1.23
573,NES,1986-01-01,2.65
737,NES,1986-01-01,2.2
5082,2600,1986-01-01,0.37
1791,NES,1986-01-01,1.14
452,NES,1986-01-01,3.08
1262,NES,1986-01-01,1.5
1117,NES,1986-01-01,1.64
1772,NES,1986-01-01,1.15
867,NES,1986-01-01,1.96
127,NES,1986-01-01,6.51
1675,NES,1986-01-01,1.2
992,NES,1986-01-01,1.76
1676,NES,1986-01-01,1.2
1427,NES,1986-01-01,1.36
1971,NES,1986-01-01,1.05
2158,NES,1986-01-01,0.96
3532,NES,1986-01-01,0.57
251,NES,1987-01-01,4.38
602,NES,1987-01-01,2.56
2466,NES,1987-01-01,0.84
1588,NES,1987-01-01,1.25
2547,NES,1987-01-01,0.81
6583,2600,1987-01-01,0.26
465,NES,1987-01-01,3.02
11716,2600,1987-01-01,0.08
2234,NES,1987-01-01,0.93
647,NES,1987-01-01,2.4
11749,2600,1987-01-01,0.07
3118,2600,1987-01-01,0.65
4393,2600,1987-01-01,0.45
759,NES,1987-01-01,2.15
1361,NES,1987-01-01,1.42
4194,2600,1987-01-01,0.47
764,NES,1988-01-01,2.14
22,NES,1988-01-01,17.28
1187,NES,1988-01-01,1.56
155,NES,1988-01-01,5.58
96,NES,1988-01-01,7.46
1350,GB,1988-01-01,1.43
6939,2600,1988-01-01,0.24
1587,NES,1988-01-01,1.25
1246,NES,1988-01-01,1.51
14507,PC,1988-01-01,0.03
638,NES,1988-01-01,2.42
312,NES,1988-01-01,3.87
1708,NES,1988-01-01,1.18
3940,2600,1988-01-01,0.51
